SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material
Y160017CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160018CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160019CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160020CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160021CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160022CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160023CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160024CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160025CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160026CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160029CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160030CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
